date,channel,spend,impressions,clicks,conversions,revenue
2025-01-01,Google Ads,1011.76,115259,4488,254,20697.88
2025-01-01,Meta Ads,659.03,48428,2404,114,11002.31
2025-01-01,LinkedIn Ads,353.05,28565,638,24,2127.11
2025-01-01,Email,62.6,6004,160,11,986.85
2025-01-01,Organic,0.0,5247,155,6,489.68
2025-01-02,Google Ads,915.19,96594,1628,92,6231.63
2025-01-02,Meta Ads,765.75,56591,2996,141,11368.07
2025-01-02,LinkedIn Ads,339.83,26276,914,37,3601.51
2025-01-02,Email,83.37,7395,264,19,1671.11
2025-01-02,Organic,0.0,3202,155,0,0.0
2025-01-03,Google Ads,938.86,84114,3181,191,17852.19
2025-01-03,Meta Ads,704.46,85008,3816,191,19303.37
2025-01-03,LinkedIn Ads,409.64,35458,952,37,2104.0
2025-01-03,Email,79.0,6920,107,10,713.99
2025-01-03,Organic,0.0,2918,133,2,151.3
2025-01-04,Google Ads,560.67,41384,1135,71,7291.4
2025-01-04,Meta Ads,542.81,58761,2966,146,12243.99
2025-01-04,LinkedIn Ads,497.3,51558,2363,93,12609.35
2025-01-04,Email,92.39,8837,141,9,905.74
2025-01-04,Organic,0.0,2595,111,3,208.73
2025-01-05,Google Ads,580.82,73514,2863,178,17012.3
2025-01-05,Meta Ads,763.16,82010,2199,111,7844.35
2025-01-05,LinkedIn Ads,358.52,44097,1233,45,3603.85
2025-01-05,Email,94.15,11713,303,24,1673.13
2025-01-05,Organic,0.0,3209,113,0,0.0
2025-01-06,Google Ads,822.89,104156,2908,181,20505.99
2025-01-06,Meta Ads,730.55,67077,3613,181,15313.01
2025-01-06,LinkedIn Ads,406.02,29675,775,35,2874.01
2025-01-06,Email,129.05,10155,351,34,3273.49
2025-01-06,Organic,0.0,2622,64,1,106.02
2025-01-07,Google Ads,889.78,105871,4968,314,26822.35
2025-01-07,Meta Ads,490.51,54813,2704,137,10242.87
2025-01-07,LinkedIn Ads,488.75,44437,837,34,2816.83
2025-01-07,Email,138.51,13998,679,64,6278.38
2025-01-07,Organic,0.0,4469,232,4,373.37
2025-01-08,Google Ads,1134.87,117245,4242,269,21555.68
2025-01-08,Meta Ads,663.97,82221,4194,214,22012.23
2025-01-08,LinkedIn Ads,529.94,65620,3312,131,12348.66
2025-01-08,Email,156.51,11745,252,23,2247.35
2025-01-08,Organic,0.0,5798,173,2,137.18
2025-01-09,Google Ads,252.12,32692,720,43,3651.87
2025-01-09,Meta Ads,632.92,51095,1515,79,7850.72
2025-01-09,LinkedIn Ads,441.81,44414,1796,68,6330.4
2025-01-09,Email,75.05,9661,333,30,2942.47
2025-01-09,Organic,0.0,5848,205,4,503.21
2025-01-10,Google Ads,1040.78,90387,1443,87,5997.49
2025-01-10,Meta Ads,784.43,99173,5271,267,25554.57
2025-01-10,LinkedIn Ads,447.32,57175,2808,110,7952.79
2025-01-10,Email,74.55,9026,249,22,1458.91
2025-01-10,Organic,0.0,4258,207,5,343.98
2025-01-11,Google Ads,606.22,53175,1483,89,8165.45
2025-01-11,Meta Ads,1011.31,88783,2822,142,9011.53
2025-01-11,LinkedIn Ads,281.67,20916,645,26,2236.66
2025-01-11,Email,107.72,10374,434,36,2814.28
2025-01-11,Organic,0.0,5761,152,2,172.41
2025-01-12,Google Ads,699.05,70837,3244,193,17996.02
2025-01-12,Meta Ads,477.6,35877,612,34,3830.14
2025-01-12,LinkedIn Ads,536.34,68947,2458,95,9568.43
2025-01-12,Email,101.14,8723,284,23,2528.15
2025-01-12,Organic,0.0,3581,184,0,0.0
2025-01-13,Google Ads,941.37,95079,3925,230,25261.34
2025-01-13,Meta Ads,618.99,45101,1697,79,6402.86
2025-01-13,LinkedIn Ads,371.93,47894,1054,37,2840.16
2025-01-13,Email,152.9,14966,613,51,4736.33
2025-01-13,Organic,0.0,5309,277,12,1035.15
2025-01-14,Google Ads,1118.84,141682,7476,427,38498.76
2025-01-14,Meta Ads,862.09,101775,4283,196,17260.59
2025-01-14,LinkedIn Ads,448.12,48198,2304,84,5697.36
2025-01-14,Email,137.74,11905,280,22,1833.23
2025-01-14,Organic,0.0,3253,137,2,155.21
2025-01-15,Google Ads,767.39,59158,2536,141,13887.65
2025-01-15,Meta Ads,753.78,86009,4054,180,13787.51
2025-01-15,LinkedIn Ads,474.73,61444,1935,68,7083.22
2025-01-15,Email,102.25,9248,483,38,3856.3
2025-01-15,Organic,0.0,4048,180,2,129.74
2025-01-16,Google Ads,826.66,77190,2076,117,10633.03
2025-01-16,Meta Ads,678.21,75014,2573,110,9326.44
2025-01-16,LinkedIn Ads,420.19,43373,1019,32,3590.56
2025-01-16,Email,132.14,16929,719,55,4743.25
2025-01-16,Organic,0.0,5801,106,1,88.06
2025-01-17,Google Ads,1025.8,76812,1412,74,7571.33
2025-01-17,Meta Ads,616.46,78188,4256,178,18761.5
2025-01-17,LinkedIn Ads,196.29,24415,474,18,1448.37
2025-01-17,Email,119.86,11760,202,17,1641.57
2025-01-17,Organic,0.0,4496,110,0,0.0
2025-01-18,Google Ads,912.92,87804,4134,205,17565.24
2025-01-18,Meta Ads,768.11,68638,1148,48,3312.25
2025-01-18,LinkedIn Ads,329.82,42793,1834,56,5966.87
2025-01-18,Email,98.95,12360,659,47,3571.57
2025-01-18,Organic,0.0,5979,237,2,152.02
2025-01-19,Google Ads,422.12,44331,802,38,3424.8
2025-01-19,Meta Ads,1028.33,91080,4331,171,15796.77
2025-01-19,LinkedIn Ads,267.98,33755,1675,55,5648.04
